"","sampleSizes","termCounts"
"1",1,2
"2",2,2
"3",3,2
"4",4,2
"5",5,3
"6",6,3
"7",7,3
"8",8,3
"9",9,3
"10",10,3
"11",11,3
"12",12,3
"13",13,3
"14",14,4
"15",15,4
"16",16,4
"17",17,4
"18",18,4
"19",19,4
"20",20,4
"21",21,4
"22",22,4
"23",23,4
"24",24,4
"25",25,4
"26",26,4
"27",27,4
"28",28,4
"29",29,4
"30",30,4
"31",31,4
"32",32,5
"33",33,5
"34",34,5
"35",35,5
"36",36,5
"37",37,5
"38",38,5
"39",39,5
"40",40,5
"41",41,5
"42",42,5
"43",43,5
"44",44,5
"45",45,5
"46",46,5
"47",47,5
"48",48,5
"49",49,5
"50",50,5
"51",51,5
"52",52,5
"53",53,5
"54",54,5
"55",55,5
"56",56,5
"57",57,5
"58",58,5
"59",59,5
"60",60,5
"61",61,5
"62",62,6
"63",63,6
"64",64,6
"65",65,6
"66",66,6
"67",67,6
"68",68,6
"69",69,6
"70",70,6
"71",71,6
"72",72,6
"73",73,6
"74",74,6
"75",75,6
"76",76,6
"77",77,6
"78",78,6
"79",79,6
"80",80,6
"81",81,6
"82",82,6
"83",83,6
"84",84,6
"85",85,6
"86",86,6
"87",87,6
"88",88,6
"89",89,6
"90",90,6
"91",91,6
"92",92,6
"93",93,6
"94",94,6
"95",95,6
"96",96,6
"97",97,6
"98",98,6
"99",99,6
"100",100,6
"101",101,6
"102",102,6
"103",103,6
"104",104,6
"105",105,6
"106",106,6
"107",107,6
"108",108,6
"109",109,6
"110",110,7
"111",111,7
"112",112,7
"113",113,7
"114",114,7
"115",115,7
"116",116,7
"117",117,7
"118",118,7
"119",119,7
"120",120,7
"121",121,7
"122",122,7
"123",123,7
"124",124,7
"125",125,7
"126",126,7
"127",127,7
"128",128,7
"129",129,7
"130",130,7
"131",131,7
"132",132,7
"133",133,7
"134",134,7
"135",135,7
"136",136,7
"137",137,7
"138",138,7
"139",139,7
"140",140,7
"141",141,7
"142",142,7
"143",143,7
"144",144,7
"145",145,7
"146",146,7
"147",147,7
"148",148,7
"149",149,7
"150",150,7
"151",151,7
"152",152,7
"153",153,7
"154",154,7
"155",155,7
"156",156,7
"157",157,7
"158",158,7
"159",159,7
"160",160,7
"161",161,7
"162",162,7
"163",163,7
"164",164,7
"165",165,7
"166",166,7
"167",167,7
"168",168,7
"169",169,7
"170",170,7
"171",171,7
"172",172,7
"173",173,7
"174",174,7
"175",175,7
"176",176,7
"177",177,7
"178",178,7
"179",179,7
"180",180,7
"181",181,7
"182",182,8
"183",183,8
"184",184,8
"185",185,8
"186",186,8
"187",187,8
"188",188,8
"189",189,8
"190",190,8
"191",191,8
"192",192,8
"193",193,8
"194",194,8
"195",195,8
"196",196,8
"197",197,8
"198",198,8
"199",199,8
"200",200,8
"201",201,8
"202",202,8
"203",203,8
"204",204,8
"205",205,8
"206",206,8
"207",207,8
"208",208,8
"209",209,8
"210",210,8
"211",211,8
"212",212,8
"213",213,8
"214",214,8
"215",215,8
"216",216,8
"217",217,8
"218",218,8
"219",219,8
"220",220,8
"221",221,8
"222",222,8
"223",223,8
"224",224,8
"225",225,8
"226",226,8
"227",227,8
"228",228,8
"229",229,8
"230",230,8
"231",231,8
"232",232,8
"233",233,8
"234",234,8
"235",235,8
"236",236,8
"237",237,8
"238",238,8
"239",239,8
"240",240,8
"241",241,8
"242",242,8
"243",243,8
"244",244,8
"245",245,8
"246",246,8
"247",247,8
"248",248,8
"249",249,8
"250",250,8
"251",251,8
"252",252,8
"253",253,8
"254",254,8
"255",255,8
"256",256,8
"257",257,8
"258",258,8
"259",259,8
"260",260,8
"261",261,8
"262",262,8
"263",263,8
"264",264,8
"265",265,8
"266",266,8
"267",267,8
"268",268,8
"269",269,8
"270",270,8
"271",271,8
"272",272,8
"273",273,8
"274",274,8
"275",275,8
"276",276,8
"277",277,8
"278",278,8
"279",279,8
"280",280,8
"281",281,8
"282",282,9
"283",283,9
"284",284,9
"285",285,9
"286",286,9
"287",287,9
"288",288,9
"289",289,9
"290",290,9
"291",291,9
"292",292,9
"293",293,9
"294",294,9
"295",295,9
"296",296,9
"297",297,9
"298",298,9
"299",299,9
"300",300,9
"301",301,9
"302",302,9
"303",303,9
"304",304,9
"305",305,9
"306",306,9
"307",307,9
"308",308,9
"309",309,9
"310",310,9
"311",311,9
"312",312,9
"313",313,9
"314",314,9
"315",315,9
"316",316,9
"317",317,9
"318",318,9
"319",319,9
"320",320,9
"321",321,9
"322",322,9
"323",323,9
"324",324,9
"325",325,9
"326",326,9
"327",327,9
"328",328,9
"329",329,9
"330",330,9
"331",331,9
"332",332,9
"333",333,9
"334",334,9
"335",335,9
"336",336,9
"337",337,9
"338",338,9
"339",339,9
"340",340,9
"341",341,9
"342",342,9
"343",343,9
"344",344,9
"345",345,9
"346",346,9
"347",347,9
"348",348,9
"349",349,9
"350",350,9
"351",351,9
"352",352,9
"353",353,9
"354",354,9
"355",355,9
"356",356,9
"357",357,9
"358",358,9
"359",359,9
"360",360,9
"361",361,9
"362",362,9
"363",363,9
"364",364,9
"365",365,9
"366",366,9
"367",367,9
"368",368,9
"369",369,9
"370",370,9
"371",371,9
"372",372,9
"373",373,9
"374",374,9
"375",375,9
"376",376,9
"377",377,9
"378",378,9
"379",379,9
"380",380,9
"381",381,9
"382",382,9
"383",383,9
"384",384,9
"385",385,9
"386",386,9
"387",387,9
"388",388,9
"389",389,9
"390",390,9
"391",391,9
"392",392,9
"393",393,9
"394",394,9
"395",395,9
"396",396,9
"397",397,9
"398",398,9
"399",399,9
"400",400,9
"401",401,9
"402",402,9
"403",403,9
"404",404,9
"405",405,9
"406",406,9
"407",407,9
"408",408,9
"409",409,9
"410",410,9
